Label,Value,County
Total:,45292.0,Calaveras County
Population of one race:,40264.0,Calaveras County
White alone,36315.0,Calaveras County
Black or African American alone,364.0,Calaveras County
American Indian and Alaska Native alone,747.0,Calaveras County
Asian alone,743.0,Calaveras County
Native Hawaiian and Other Pacific Islander alone,100.0,Calaveras County
Some Other Race alone,1995.0,Calaveras County
Population of two or more races:,5028.0,Calaveras County
Population of two races:,4706.0,Calaveras County
White; Black or African American,195.0,Calaveras County
White; American Indian and Alaska Native,1513.0,Calaveras County
White; Asian,428.0,Calaveras County
White; Native Hawaiian and Other Pacific Islander,110.0,Calaveras County
White; Some Other Race,2285.0,Calaveras County
Black or African American; American Indian and Alaska Native,13.0,Calaveras County
Black or African American; Asian,13.0,Calaveras County
Black or African American; Native Hawaiian and Other Pacific Islander,0.0,Calaveras County
Black or African American; Some Other Race,24.0,Calaveras County
American Indian and Alaska Native; Asian,6.0,Calaveras County
American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,6.0,Calaveras County
American Indian and Alaska Native; Some Other Race,43.0,Calaveras County
Asian; Native Hawaiian and Other Pacific Islander,39.0,Calaveras County
Asian; Some Other Race,28.0,Calaveras County
Native Hawaiian and Other Pacific Islander; Some Other Race,3.0,Calaveras County
Population of three races:,285.0,Calaveras County
White; Black or African American; American Indian and Alaska Native,15.0,Calaveras County
White; Black or African American; Asian,8.0,Calaveras County
White; Black or African American; Native Hawaiian and Other Pacific Islander,2.0,Calaveras County
White; Black or African American; Some Other Race,28.0,Calaveras County
White; American Indian and Alaska Native; Asian,25.0,Calaveras County
White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,24.0,Calaveras County
White; American Indian and Alaska Native; Some Other Race,104.0,Calaveras County
White; Asian; Native Hawaiian and Other Pacific Islander,39.0,Calaveras County
White; Asian; Some Other Race,21.0,Calaveras County
White; Native Hawaiian and Other Pacific Islander; Some Other Race,0.0,Calaveras County
Black or African American; American Indian and Alaska Native; Asian,8.0,Calaveras County
Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,0.0,Calaveras County
Black or African American; American Indian and Alaska Native; Some Other Race,2.0,Calaveras County
Black or African American; Asian; Native Hawaiian and Other Pacific Islander,0.0,Calaveras County
Black or African American; Asian; Some Other Race,0.0,Calaveras County
Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,0.0,Calaveras County
American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,0.0,Calaveras County
American Indian and Alaska Native; Asian; Some Other Race,5.0,Calaveras County
American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,0.0,Calaveras County
Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,4.0,Calaveras County
Population of four races:,31.0,Calaveras County
White; Black or African American; American Indian and Alaska Native; Asian,6.0,Calaveras County
White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,1.0,Calaveras County
White; Black or African American; American Indian and Alaska Native; Some Other Race,4.0,Calaveras County
White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,0.0,Calaveras County
White; Black or African American; Asian; Some Other Race,7.0,Calaveras County
White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,0.0,Calaveras County
White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,4.0,Calaveras County
White; American Indian and Alaska Native; Asian; Some Other Race,0.0,Calaveras County
White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,6.0,Calaveras County
White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,3.0,Calaveras County
Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,0.0,Calaveras County
Black or African American; American Indian and Alaska Native; Asian; Some Other Race,0.0,Calaveras County
Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,0.0,Calaveras County
Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,0.0,Calaveras County
American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,0.0,Calaveras County
Population of five races:,5.0,Calaveras County
White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,3.0,Calaveras County
White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,0.0,Calaveras County
White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,0.0,Calaveras County
White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,1.0,Calaveras County
White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,1.0,Calaveras County
Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,0.0,Calaveras County
Population of six races:,1.0,Calaveras County
White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,1.0,Calaveras County
